,,,,,,,,,,,,,,,,
,We ran this method on the whole WebNLG dataset,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,"1 island, bleu score evaluation, with inspirations",,,,,,,,,,,,,
,,Politician,0.5823,0.2320,0.7243,0.7471,0.6483,0.5034,0.8069,0.8621,0.0345,0.2414,2.9310,143.1034,25.5517,3.5862
,,Sports Team,0.5400,0.2180,0.7529,0.3598,0.6727,0.6364,0.9045,0.6818,0.1591,0.1818,1.9545,194.2273,29.4091,4.6136
,,University,0.6777,0.2462,0.8069,0.6111,0.7156,0.6978,0.8489,0.9889,0.1444,0.2222,2.7556,182.7222,27.4111,3.7000
,,Written Work,0.5589,0.1231,0.7325,0.2713,0.6512,0.5674,0.6977,0.9070,0.4651,0.1628,2.5814,103.5814,19.3953,2.3488
,,avg,0.5077,0.2599,0.7163,0.5157,0.6366,0.5933,0.7899,0.8366,0.3142,0.1863,2.1679,138.9440,23.7167,3.5205
,,,,,,,,,,,,,,,,
,,,LLM prompt,,,,,,,,,,,,,
,,,bleu,bleurt,meteor,senlen,llm as judge (gemma),llm as judge (qwen 3.6 fp8),themis,gramatic,additions,ommisions,avg_sentences,avg_words,avg_characters,avg_triples
,,Airport,0.4518,0.4488,0.7306,0.4088,1.0000,0.9663,0.9916,0.9895,0.0000,0.0000,1.8632,128.5684,20.4000,3.3474
,,Artist,0.5702,0.5276,0.8141,0.2232,0.9890,0.9743,0.9853,1.0000,0.0092,0.0000,1.0826,96.6789,16.3761,2.9083
,,Astronaut,0.5641,0.4431,0.7755,0.4858,1.0000,1.0000,0.9951,1.0000,0.0000,0.0000,1.3415,120.7195,21.1098,3.7073
,,Athlete,0.5171,0.4344,0.7649,0.3000,1.0000,0.9640,0.9920,0.9400,0.0400,0.0000,1.6000,108.8000,18.8000,2.9000
,,Building,0.4907,0.2405,0.6870,0.8043,1.0000,0.9957,0.9609,0.9783,0.0000,0.0000,3.3478,191.5000,34.5435,4.5652
